input,label,ast
spec0.py,spec0_answers.txt,spec0.json
spec1.py,spec1_answers.txt,spec1.json
spec2.py,spec2_answers.txt,spec2.json
spec5.py,spec5_answers.txt,spec5.json
spec6.py,spec6_answers.txt,spec6.json
spec8.py,spec8_answers.txt,spec8.json
spec10.py,spec10_answers.txt,spec10.json
spec12.py,spec12_answers.txt,spec12.json
spec14.py,spec14_answers.txt,spec14.json
spec15.py,spec15_answers.txt,spec15.json
spec20.py,spec20_answers.txt,spec20.json
spec24.py,spec24_answers.txt,spec24.json
spec27.py,spec27_answers.txt,spec27.json
spec32.py,spec32_answers.txt,spec32.json
spec34.py,spec34_answers.txt,spec34.json
spec35.py,spec35_answers.txt,spec35.json
spec36.py,spec36_answers.txt,spec36.json
spec37.py,spec37_answers.txt,spec37.json
spec41.py,spec41_answers.txt,spec41.json
spec44.py,spec44_answers.txt,spec44.json
spec49.py,spec49_answers.txt,spec49.json
spec50.py,spec50_answers.txt,spec50.json
spec56.py,spec56_answers.txt,spec56.json
spec57.py,spec57_answers.txt,spec57.json
spec58.py,spec58_answers.txt,spec58.json
spec59.py,spec59_answers.txt,spec59.json
spec60.py,spec60_answers.txt,spec60.json
spec63.py,spec63_answers.txt,spec63.json
spec66.py,spec66_answers.txt,spec66.json
spec68.py,spec68_answers.txt,spec68.json
spec69.py,spec69_answers.txt,spec69.json
spec70.py,spec70_answers.txt,spec70.json
spec71.py,spec71_answers.txt,spec71.json
spec72.py,spec72_answers.txt,spec72.json
spec73.py,spec73_answers.txt,spec73.json
spec75.py,spec75_answers.txt,spec75.json
spec78.py,spec78_answers.txt,spec78.json
spec79.py,spec79_answers.txt,spec79.json
spec80.py,spec80_answers.txt,spec80.json
spec81.py,spec81_answers.txt,spec81.json
spec82.py,spec82_answers.txt,spec82.json
spec83.py,spec83_answers.txt,spec83.json
spec85.py,spec85_answers.txt,spec85.json
spec87.py,spec87_answers.txt,spec87.json
spec93.py,spec93_answers.txt,spec93.json
